feature,coef
num_lab_procedures readmitted_<30,0.18115559867930972
num_medications readmitted_<30,0.1336550190870723
num_lab_procedures readmitted_NO,-0.09697145160271944
num_lab_procedures readmitted_>30,-0.08658731935124367
number_diagnoses readmitted_<30,0.07738152349841204
num_medications readmitted_NO,-0.07455495666627605
num_medications readmitted_>30,-0.06317953023499777
number_diagnoses readmitted_NO,-0.04528515838301362
time_in_hospital readmitted_<30,0.03751191830346959
number_diagnoses readmitted_>30,-0.03736775928377245
time_in_hospital readmitted_NO,-0.020668847493838065
time_in_hospital readmitted_>30,-0.01849603096048355
num_procedures readmitted_<30,0.011745049696743547
glimepiride-pioglitazone_No readmitted_<30,0.010596046823219907
citoglipton_No readmitted_<30,0.010596046823219907
acetohexamide_No readmitted_<30,0.010596046823219907
metformin-pioglitazone_No readmitted_<30,0.010596046823219907
troglitazone_No readmitted_<30,0.010596046823219907
metformin-rosiglitazone_No readmitted_<30,0.010596046823219907
examide_No readmitted_<30,0.010596046823219907
readmitted_<30,0.010596046823219907
tolbutamide_No readmitted_<30,0.010595849610353352
tolazamide_No readmitted_<30,0.010595175129890319
miglitol_No readmitted_<30,0.010595059037893977
chlorpropamide_No readmitted_<30,0.01059357638971312
glipizide-metformin_No readmitted_<30,0.010587240859277636
acarbose_No readmitted_<30,0.010559501686583973
nateglinide_No readmitted_<30,0.010534065425490256
glyburide-metformin_No readmitted_<30,0.010509505182849113
repaglinide_No readmitted_<30,0.010326365322331084
glimepiride_No readmitted_<30,0.010103593472615744
rosiglitazone_No readmitted_<30,0.010015236682046685
pioglitazone_No readmitted_<30,0.00992506079967769
glyburide_No readmitted_<30,0.009614783616325983
glipizide_No readmitted_<30,0.009296064602300579
number_inpatient readmitted_<30,0.008930351482186428
metformin_No readmitted_<30,0.008635015961968329
race_Caucasian readmitted_<30,0.008432505762146934
diabetesMed_Yes readmitted_<30,0.008182501937492074
num_medications discharge_disposition_id_1,-0.008125456356936839
num_medications number_diagnoses,0.00794084741144939
num_procedures readmitted_NO,-0.007622905112876434
number_diagnoses discharge_disposition_id_1,-0.007102327486200322
payer_code_MC readmitted_<30,0.0070974590180815705
acetohexamide_No readmitted_NO,-0.006861246788452892
glimepiride-pioglitazone_No readmitted_NO,-0.006861246788452892
readmitted_NO,-0.006861246788452892
troglitazone_No readmitted_NO,-0.006861246788452892
citoglipton_No readmitted_NO,-0.006861246788452892
examide_No readmitted_NO,-0.006861246788452892
metformin-rosiglitazone_No readmitted_NO,-0.006861193590028885
metformin-pioglitazone_No readmitted_NO,-0.006861062328975482
tolbutamide_No readmitted_NO,-0.00686036228121896
glipizide-metformin_No readmitted_NO,-0.006859781727594235
miglitol_No readmitted_NO,-0.0068586476002837305
tolazamide_No readmitted_NO,-0.006858390621448385
chlorpropamide_No readmitted_NO,-0.006856250149091542
acarbose_No readmitted_NO,-0.006846056309703859
nateglinide_No readmitted_NO,-0.00681858802618676
glyburide-metformin_No readmitted_NO,-0.006795612968065582
repaglinide_No readmitted_NO,-0.006765889865598136
glimepiride_No readmitted_NO,-0.006522263907007745
rosiglitazone_No readmitted_NO,-0.006445362402771322
pioglitazone_No readmitted_NO,-0.006371451672283712
number_inpatient number_diagnoses,0.00630897342444326
glyburide_No readmitted_NO,-0.006215428818353304
glipizide_No readmitted_NO,-0.006147379310006599
discharge_disposition_id_1 readmitted_<30,0.006027144553367543
medical_specialty_InternalMedicine readmitted_<30,0.005989156825591914
change_No readmitted_<30,0.005918835686110115
num_medications insulin_No,-0.005771695190937101
number_diagnoses repaglinide_No,-0.0057340060080924024
gender_Female readmitted_<30,0.005574881865925936
metformin_No readmitted_NO,-0.0053774861482993085
number_diagnoses glipizide_No,-0.005310083738008683
number_diagnoses acarbose_No,-0.005301689042434947
race_Caucasian readmitted_NO,-0.005301473457721063
number_diagnoses glipizide-metformin_No,-0.005299930149755141
admission_source_id_7 readmitted_<30,0.005283798035458389
number_diagnoses acetohexamide_No,-0.005271394019046271
number_diagnoses troglitazone_No,-0.005271394019046271
number_diagnoses citoglipton_No,-0.005271394019046271
number_diagnoses examide_No,-0.005271394019046271
number_diagnoses,-0.005271394019046271
number_diagnoses metformin-rosiglitazone_No,-0.005270915233254016
number_diagnoses metformin-pioglitazone_No,-0.005270656181132608
number_diagnoses glimepiride-pioglitazone_No,-0.005270276627475682
number_diagnoses tolbutamide_No,-0.005263881942335308
num_medications number_inpatient,0.005254666818109957
number_diagnoses tolazamide_No,-0.005249175675722046
number_diagnoses chlorpropamide_No,-0.005235377023150437
number_diagnoses miglitol_No,-0.005211979075619695
number_inpatient readmitted_>30,-0.005205036198218833
examide_No readmitted_>30,-0.005145545193903768
troglitazone_No readmitted_>30,-0.005145545193903768
citoglipton_No readmitted_>30,-0.005145545193903768
readmitted_>30,-0.005145545193903768
metformin-rosiglitazone_No readmitted_>30,-0.005145545193903768
metformin-pioglitazone_No readmitted_>30,-0.005145545193903768
acetohexamide_No readmitted_>30,-0.005145545193903768
glipizide-metformin_No readmitted_>30,-0.005145310790061181
glimepiride-pioglitazone_No readmitted_>30,-0.005145265846016961
tolbutamide_No readmitted_>30,-0.005145230484356797
tolazamide_No readmitted_>30,-0.005143781694473292
chlorpropamide_No readmitted_>30,-0.005141770936559852
miglitol_No readmitted_>30,-0.005139324418405884
acarbose_No readmitted_>30,-0.005122688515473079
number_diagnoses glyburide-metformin_No,-0.005110912881207647
nateglinide_No readmitted_>30,-0.005097839498877725
glyburide-metformin_No readmitted_>30,-0.005090069112141147
number_diagnoses nateglinide_No,-0.005088064303239228
num_procedures readmitted_>30,-0.0050752331135729516
insulin_No readmitted_<30,0.0050358363122040666
repaglinide_No readmitted_>30,-0.005034823004129577
gender_Male readmitted_<30,0.004969209867436106
diabetesMed_Yes readmitted_NO,-0.004938582953729786
number_diagnoses insulin_No,-0.004864935911549459
glimepiride_No readmitted_>30,-0.004841465397089296
rosiglitazone_No readmitted_>30,-0.004792521107303159
pioglitazone_No readmitted_>30,-0.004744843125764471
glyburide_No readmitted_>30,-0.00465505057151256
change_Ch readmitted_<30,0.004625256014357443
num_medications diag_3_250,-0.004619620852758408
number_outpatient readmitted_<30,0.004615803255428145
number_diagnoses glimepiride_No,-0.0045509888052202374
discharge_disposition_id_1 readmitted_NO,-0.004527383108193334
num_medications repaglinide_No,-0.00450299857351775
num_medications discharge_disposition_id_22,0.004481335892059879
glipizide_No readmitted_>30,-0.004472157141726782
admission_type_id_1 readmitted_<30,0.00436702217401458
number_diagnoses rosiglitazone_No,-0.004293057934857685
num_lab_procedures discharge_disposition_id_1,-0.004290538482173737
number_diagnoses glyburide_No,-0.004259499807310943
payer_code_MC readmitted_NO,-0.0041768928260325685
num_medications glipizide-metformin_No,-0.0041751220410806795
change_No readmitted_NO,-0.004173504456993271
number_diagnoses pioglitazone_No,-0.004129885999436912
num_medications acarbose_No,-0.004120824368521444
metformin_No readmitted_>30,-0.00410797489552862
num_medications examide_No,-0.004079467648954158
num_medications,-0.004079467648954158
num_medications citoglipton_No,-0.004079467648954158
num_medications troglitazone_No,-0.004079467648954158
num_medications acetohexamide_No,-0.004079467648954158
num_medications metformin-rosiglitazone_No,-0.004078107464313805
num_medications glimepiride-pioglitazone_No,-0.004077512213712671
num_medications metformin-pioglitazone_No,-0.004075778459406217
diabetesMed_Yes readmitted_>30,-0.004070659137952288
num_medications tolbutamide_No,-0.004066222068532818
race_Caucasian readmitted_>30,-0.004043966766702199
num_medications tolazamide_No,-0.004035252229682653
num_medications chlorpropamide_No,-0.00399750123506636
num_lab_procedures discharge_disposition_id_22,0.003992410507301906
num_medications miglitol_No,-0.003966098836193032
number_diagnoses change_No,-0.003942917562674242
num_medications glipizide_No,-0.003832735398048867
num_medications glyburide-metformin_No,-0.0038098096851513627
number_emergency readmitted_<30,0.00379812723141562
medical_specialty_InternalMedicine readmitted_NO,-0.0037778011134899873
num_medications metformin_Steady,-0.003709553730851648
insulin_No readmitted_NO,-0.003704535402464172
admission_source_id_1 readmitted_<30,0.003702906652084696
num_lab_procedures change_Ch,-0.0036775596887800312
num_medications nateglinide_No,-0.0036579602514199747
gender_Female readmitted_NO,-0.0035588564937076377
number_diagnoses gender_Female,-0.003485636769930963
readmitted_<30 diag_1_category_Circulatory,0.003342420877723065
time_in_hospital num_medications,0.0033380731645906996
payer_code_MC readmitted_>30,-0.003327655320200184
readmitted_<30 diag_3_category_Circulatory,0.0033184084328354035
gender_Male readmitted_NO,-0.0032499389353891537
readmitted_<30 diag_2_category_Circulatory,0.0031604157826100204
number_diagnoses diag_3_250,-0.0031421096970445104
readmitted_<30 diag_3_category_Other,0.0031289377635002258
insulin_Steady readmitted_<30,0.0031151146277392672
discharge_disposition_id_1 readmitted_>30,-0.003109713920644879
time_in_hospital discharge_disposition_id_1,-0.002968925120968933
num_medications diag_2_250,-0.0029485617028276742
admission_source_id_7 readmitted_NO,-0.00290540747008574
num_medications admission_type_id_2,-0.0029042822836368803
